datetime,index,site,location,wl_below_surface_m,temperature,salinity,p_h,do_mgl,p_h_orp,peak,d_time,d_do,do_rate,max_do,mean_depth,mean_temp,mean_salinity,mean_ph,hours
2022-04-22T00:45:00Z,193,OWC,TR,-0.03183124206533322,7.14,0.27,7.48,4.48,258.8,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,48
2022-04-22T01:00:00Z,194,OWC,TR,-0.0332373899343813,7.14,0.27,7.48,4.44,250.6,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,48.25
2022-04-22T01:15:00Z,195,OWC,TR,-0.03183124206533322,7.14,0.27,7.48,4.43,254.5,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,48.5
2022-04-22T01:30:00Z,196,OWC,TR,-0.0332373899343813,7.14,0.27,7.48,4.43,257,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,48.75
2022-04-22T01:45:00Z,197,OWC,TR,-0.03183124206533322,7.14,0.27,7.48,4.43,258.7,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,49
2022-04-22T02:00:00Z,198,OWC,TR,-0.0339404638689052,7.14,0.27,7.46,4.3,250.7,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,49.25
2022-04-22T02:15:00Z,199,OWC,TR,-0.0332373899343813,7.15,0.27,7.46,4.31,254.6,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,49.5
2022-04-22T02:30:00Z,200,OWC,TR,-0.0332373899343813,7.15,0.27,7.47,4.31,256.9,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,49.75
2022-04-22T02:45:00Z,201,OWC,TR,-0.0339404638689052,7.15,0.27,7.47,4.31,258.5,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,50
2022-04-22T03:00:00Z,202,OWC,TR,-0.03534661173795334,7.15,0.27,7.47,4.25,249.4,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,50.25
