,Cation Summary Report,,,,,,
,,,,,,,
No. ,Name ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,min,µS*min,%,µS,%,mg/l
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Lithium,Lithium,Lithium,Lithium,Lithium,Lithium
1,DI Water,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
70,45,9.920  ,0.0313  ,0.17,0.12  ,0.41,n.a.
71,46,9.900  ,0.0152  ,0.12,0.06  ,0.30,n.a.
72,47,9.927  ,0.0010  ,0.01,0.00  ,0.01,n.a.
73,48,9.920  ,0.0760  ,5.44,0.31  ,7.89,n.a.
74,49,9.910  ,0.0690  ,4.98,0.28  ,7.74,n.a.
75,50,9.917  ,0.0656  ,5.09,0.27  ,7.44,n.a.
76,51,9.907  ,0.0673  ,5.12,0.27  ,7.64,n.a.
77,52,9.927  ,0.0595  ,4.59,0.24  ,6.81,n.a.
78,53,9.923  ,0.0119  ,0.05,0.01  ,0.02,n.a.
79,54,9.930  ,0.0089  ,0.05,0.01  ,0.02,n.a.
80,55,9.930  ,0.0081  ,0.04,0.01  ,0.02,n.a.
81,56,9.913  ,0.0025  ,0.01,0.00  ,0.02,n.a.
82,57,9.890  ,0.0040  ,0.03,0.00  ,0.02,n.a.
83,58,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
84,59,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
85,60,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
86,61,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
87,62,9.897  ,0.0151  ,0.06,0.01  ,0.02,n.a.
88,63,9.920  ,0.0002  ,0.47,0.00  ,0.86,n.a.
89,C-200x,9.957  ,0.8814  ,11.57,2.70  ,14.85,1.9159  
90,MQ Blank 3,9.927  ,0.0007  ,4.06,0.00  ,10.66,n.a.
91,64,9.947  ,0.4754  ,1.76,1.61  ,3.97,0.7616  
92,65,9.943  ,0.4690  ,1.79,1.60  ,4.01,0.7434  
93,66,9.950  ,0.3369  ,1.37,1.17  ,3.11,0.3679  
94,67,9.947  ,0.3364  ,1.21,1.19  ,2.87,0.3664  
95,68,9.933  ,0.1490  ,0.58,0.56  ,1.47,n.a.
96,69,9.943  ,0.1305  ,5.97,0.50  ,9.99,n.a.
97,70,9.930  ,0.0984  ,4.42,0.39  ,7.83,n.a.
98,71,9.927  ,0.1322  ,5.84,0.49  ,9.65,n.a.
99,72,9.933  ,0.1149  ,5.65,0.42  ,9.07,n.a.
100,73,9.930  ,0.1148  ,5.53,0.43  ,9.00,n.a.
