,Anion Summary Report,,,,,,,
,,,,,,,,
No. ,Name ,Dilution ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,,min,µS*min,%,µS,%,ppm
,,,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total
,,,Fluoride,Fluoride,Fluoride,Fluoride,Fluoride,Fluoride
89,67,1.0000,3.810  ,0.2563  ,4.24,2.86  ,7.27,0.5828  
90,68,1.0000,3.813  ,0.2526  ,4.08,2.82  ,6.86,0.5727  
91,69,1.0000,3.810  ,0.1999  ,17.98,2.27  ,23.57,0.4270  
92,70,1.0000,3.813  ,0.2017  ,18.03,2.29  ,23.78,0.4319  
93,71,1.0000,3.813  ,0.2028  ,17.68,2.29  ,23.32,0.4349  
94,72,1.0000,3.813  ,0.1706  ,15.93,1.94  ,21.20,0.3459  
95,73,1.0000,3.813  ,0.1944  ,17.55,2.20  ,22.98,0.4118  
96,74,1.0000,3.820  ,0.5921  ,12.92,6.55  ,21.81,1.5116  
97,75,1.0000,3.813  ,0.6340  ,12.05,7.00  ,20.75,1.6276  
98,76,1.0000,3.813  ,0.6604  ,12.37,7.31  ,20.31,1.7004  
99,77,1.0000,3.813  ,0.4798  ,11.11,5.33  ,19.27,1.2010  
100,78,1.0000,3.813  ,0.7614  ,14.00,8.41  ,22.92,1.9800  
101,79,1.0000,3.810  ,0.7249  ,4.24,8.08  ,5.75,1.8790  
102,80,1.0000,3.810  ,0.7388  ,3.92,8.24  ,5.36,1.9173  
103,81,1.0000,3.810  ,0.7998  ,3.74,8.89  ,5.17,2.0860  
104,82,1.0000,3.810  ,0.7248  ,3.97,8.10  ,5.42,1.8785  
105,83,1.0000,3.810  ,0.6036  ,3.71,6.75  ,5.03,1.5435  
106,84,1.0000,3.810  ,0.0039  ,4.57,0.05  ,8.55,n.a.
107,A-800x,1.0000,3.813  ,0.0411  ,16.62,0.48  ,22.90,n.a.
108,MQ Blank 4,1.0000,3.793  ,0.0034  ,3.38,0.01  ,3.03,n.a.
109,SB 1,1.0000,3.807  ,0.0210  ,17.36,0.24  ,30.17,n.a.
110,SB 2,1.0000,3.800  ,0.0009  ,1.16,0.01  ,2.35,n.a.
111,SB 3,1.0000,3.810  ,0.0011  ,1.47,0.01  ,3.26,n.a.
112,SB 4,1.0000,3.810  ,0.0009  ,1.17,0.01  ,2.60,n.a.
113,5 ppm F/10 ppm Anion  Std,1.0000,3.813  ,3.6814  ,21.63,40.81  ,26.60,10.0556  
,Sum:,,430.887  ,71.601  ,984.733  ,794.657  ,1391.264  ,185.455  
,Average:,,3.813  ,0.634  ,8.714  ,7.032  ,12.312  ,1.932  
,Rel.Std.Dev:,,0.139 %,191.774 %,75.692 %,189.828 %,69.896 %,184.393 %
,,,,,,,,
No. ,Name ,Dilution ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,,min,mAU*min,%,mAU,%,ppm
,,,UV_VIS_1,UV_VIS_1,UV_VIS_1,UV_VIS_1,UV_VIS_1,UV_VIS_1
,,,Nitrite UV,Nitrite UV,Nitrite UV,Nitrite UV,Nitrite UV,Nitrite UV
1,DI Water,1.0000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,10 ppm Anion  Std,1.0000,4.415  ,34.9529  ,45.25,277.53  ,52.19,10.6566  
3,DI water,1.0000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4,1600x,1.0000,4.399  ,0.2284  ,29.32,2.03  ,35.62,n.a.
5,800x,1.0000,4.407  ,0.4559  ,37.26,4.03  ,45.33,n.a.
